id,title,release_date,year,runtime,genres,rated,country,actors,director,writers,awards,box_office,ratings
tt0077864,Uppercut,05 Oct 1978,1978,110,"Action,Comedy,Sport",N/A,"Italy, West Germany","Bud Spencer, Raimund Harmstorf, Ottaviano Dell'Acqua, Nando Paone",Michele Lupo,"Rainer Brandt, Marcello Fondato (screenplay), Marcello Fondato (story), Francesco Scardamaglia (screenplay), Francesco Scardamaglia (story)",2 wins.,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]"
tt0077868,The Avenging Eagle,13 Sep 1978,1978,90,"Action,Adventure,Drama",R,Hong Kong,"Sheng Fu, Lung Ti, Feng Ku, Lung Chan",Chung Sun,"Hung Chin (story), Kuang Ni (screenplay)",1 win & 1 nomination.,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]"
tt0077919,Mean Dog Blues,01 Mar 1978,1978,108,"Action,Drama,Thriller",R,USA,"Gregg Henry, Kay Lenz, Scatman Crothers, Tina Louise",Mel Stuart,George Lefferts,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]"
tt0077930,Blazing Flowers,05 Feb 1978,1978,83,"Action,Crime,Drama",N/A,Italy,"Marc Porel, George Hilton, Anna Maria Rizzoli, Al Cliver",Gianni Martucci,"Luca Sportelli (story and screenplay), Ludovica Marineo (screenplay), Gianni Martucci (screenplay)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]"
tt0077937,Mission Galactica: The Cylon Attack,N/A,1979,108,"Action,Adventure,Sci-Fi",N/A,USA,"Richard Hatch, Dirk Benedict, Lorne Greene, Herbert Jefferson Jr.","Vince Edwards(co-director), Christian I. Nyby II(co-director)","Glen A. Larson (screenplay), Jim Carlson (screenplay), Terrence McDonnell (screenplay), Ken Pettus (story), Glen A. Larson (story), Michael Sloan (story), Glen A. Larson (characters)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]"
tt0077944,Money Movers,N/A,1978,92,"Action,Crime,Drama",R,Australia,"Terence Donovan, Tony Bonner, Ed Devereaux, Charles 'Bud' Tingwell",Bruce Beresford,"Bruce Beresford (screenplay), Devon Minchin (novel)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]"
tt0077973,Invincible Shaolin,19 Nov 1978,1978,98,"Action,Drama",R,Hong Kong,"Feng Lu, Sheng Chiang, Chien Sun, Phillip Chung-Fung Kwok",Cheh Chang,"Cheh Chang, Kuang Ni",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]"
tt0078007,The Norseman,29 Jan 1979,1978,90,"Action,Adventure",PG,USA,"Lee Majors, Cornel Wilde, Mel Ferrer, Jack Elam",Charles B. Pierce,Charles B. Pierce,1 nomination.,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}]"
tt0078030,Ondanondu Kaladalli,01 Oct 1979,1979,156,"Action,Adventure,Drama",N/A,India,"Shankar Nag, Sushilendra Joshi, Vasant Rao Nakod, Rekha Sabnis",Girish Karnad,"Krishna Basrur (screenplay), Krishna Basrur (story), Girish Karnad (screenplay), Girish Karnad (story)",1 nomination.,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]"
tt0078032,The One Man Jury,29 Sep 1978,1978,98,"Action,Crime,Drama",R,USA,"Jack Palance, Christopher Mitchum, Pamela Susan Shoop, Cara Williams",Charles Martin,Charles Martin,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]"
tt0078058,Odds and Evens,28 Oct 1978,1978,115,"Action,Comedy,Crime",PG,"Italy, USA","Terence Hill, Bud Spencer, Luciano Catenacci, Marisa Laurito",Sergio Corbucci,"Mario Amendola (story), Bruno Corbucci (story), Bruno Corbucci, Mario Amendola, Sabatino Ciuffini, Sergio Corbucci",1 win.,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]"
tt0078097,Du bi dao da zhan du bi dao,18 Mar 1977,1977,87,"Action,Drama",N/A,"Hong Kong, Taiwan","Jimmy Wang Yu, Chia Yung Liu, Jieh-Wen King, Kuan-Hsiung Wang","Sheng-En Chin, Jimmy Wang Yu",Sheng-En Chin (screenplay),N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]"
tt0078121,The Proud Youth,30 Mar 1978,1978,92,"Action,Adventure",N/A,Hong Kong,"Yue Wong, Wai-Man Chan, Chung Wang, Stanley Sui-Fan Fung",Chung Sun,"Louis Cha (story), Kuang Ni (screenplay)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]"
tt0078128,Spiritual Kung Fu,23 Nov 1978,1978,99,"Action,Comedy,Fantasy",PG,"Hong Kong, Taiwan","Jackie Chan, Chih-Ping Chiang, Hsiu-yi Fang, Hong Hsu",Wei Lo,Lei Pan,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]"
tt0078162,Revansa,04 Sep 1978,1978,101,"Action,Crime,Drama",N/A,Romania,"Gheorghe Dinica, Sergiu Nicolaescu, Jean Constantin, Amza Pellea",Sergiu Nicolaescu,"Vintilä Corbul, Mircea Gandila, Sergiu Nicolaescu",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]"
tt0078166,Ride in a Pink Car,01 Jun 1974,1974,83,"Action,Drama",PG,USA,"William Kerwin, Erni Benet, John Carroll, Glenn Corbett",Robert J. Emery,"Robert J. Emery, David Hall",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]"
tt0078187,Lupin the 3rd: The Mystery of Mamo,16 Dec 1978,1978,102,"Action,Adventure,Animation",PG-13,Japan,"Yasuo Yamada, Eiko Masuyama, Kiyoshi Kobayashi, Makio Inoue","Sôji Yoshikawa, Yasuo Ôtsuka","Monkey Punch (comic), Atsushi Yamatoya (scripts), Sôji Yoshikawa (scripts), Ardwight Chamberlain (dialogue), Grant Moran (dialogue)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]"
tt0078194,Safari Rally,08 Jul 1978,1978,90,"Action,Adventure",N/A,"Italy, Kenya","Marcel Bozzuffi, Olga Bisera, Joe Dallesandro, Eleonora Giorgi",Bitto Albertini,"Bitto Albertini, Ambrogio Molteni",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]"
tt0078214,Any Which Way You Punch,N/A,1979,92,"Action,Adventure",N/A,"Hong Kong, Taiwan","Peng Tien, Angela Mao, Yi Chang, Tao-Liang Tan",Shing Yuan Sun,N/A,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]"
tt0078224,Silver Saddle,20 Apr 1978,1978,98,"Action,Western",Not Rated,Italy,"Giuliano Gemma, Sven Valsecchi, Ettore Manni, Gianni De Luigi",Lucio Fulci,"Adriano Bolzoni (screenplay), Adriano Bolzoni (story)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]"
tt0078236,Seven Nights in Japan,01 Aug 1976,1976,104,"Action,Comedy,Drama",N/A,"France, UK","Michael York, Hidemi Aoki, Charles Gray, Anne Lonnberg",Lewis Gilbert,Christopher Wood,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]"
tt0078241,Shalimar,31 Dec 1978,1978,137,"Action,Adventure,Crime",PG-13,"India, USA","Dharmendra, Zeenat Aman, Rex Harrison, Sylvia Miles",Krishna Shah,"Kader Khan (Hindi dialogue), Momin Khan, Hriday Lani, Krishna Shah (dialogue), Krishna Shah (screenplay), Krishna Shah (story), Stanford Sherman (story)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]"
tt0078242,Bandits from Shantung,N/A,1972,78,"Action,Drama",N/A,Hong Kong,"Yi Chang, Chin Hu, Ying Bai, Siu Hung Cham",Feng Huang,Feng Huang,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]"
