,id,title,release_date,year,runtime,genres,rated,countries,actors,directors,writers,awards,box_office,ratings
1757,tt0219920,The Mediterranean in Flames,,1970,102,"['Action', 'Drama', 'War']",,['Greece'],"['Kostas Prekas', ' Kostas Karras', ' Olga Politou', ' Sofia Roubou']",['Dimis Dadiras'],"['Antonis David', ' Stamatis Filippoulis (adaptation)']",,,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]"
1758,tt0220633,The Mark of Zorro,,1975,79,"['Action', 'Adventure', 'Romance']",,['France'],"['Clint Douglas', ' Monica Swinn', ' Jean-Pierre Bouyxou', ' Madame Caillard']","['Marius Lesoeur', ' Jesús Franco', ' Alain Payet']",['nan'],,,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]"
1759,tt0220791,Los superagentes no se rompen,01 Feb 1979,1979,95,"['Action', 'Adventure', 'Comedy']",,['Argentina'],"['Ricardo Bauleo', ' Victor Bo', ' Julio De Grazia', ' Villanueva Cosse']",['Julio De Grazia'],['Salvador Valverde Calvo'],,,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]"
1760,tt0221417,La muerte de Pancho Villa,02 May 1974,1974,85,"['Action', 'Biography', 'Drama']",,['Mexico'],"['Antonio Aguilar', ' Jaime Fernández', ' Ana Luisa Peluffo', ' Flor Silvestre']",['Mario Hernández'],"['Antonio Aguilar', ' Mario Hernández']",1 nomination.,,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]"
1761,tt0221909,El desconocido,26 Sep 1974,1974,99,"['Action', 'Drama', 'Thriller']",,['Mexico'],"['Valentín Trujillo', ' Jorge Luke', ' Lucía Méndez', ' Fernando Allende']",['Gilberto Gazcón'],"['Gilberto Gazcón', ' Ramón Obón', ' Eduardo de la Peña']",1 win.,,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]"
1762,tt0222781,Bakuhatsu! Nana-han zoku,15 Sep 1976,1976,85,"['Action', 'Crime']",,['Japan'],"['Kôichi Iwaki', ' Takako Kitagawa', ' Janet Hatta', ' Kentarô Shimizu']",['Yu Kohira'],['Ryûnosuke Kono'],,,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]"
1763,tt0223413,Wet Sand in August,25 Aug 1971,1971,92,"['Action', 'Drama']",,['Japan'],"['Masasuke Hirose', ' Takenori Murano', ' Naoto Nakazawa', ' Midori Fujita']",['Toshiya Fujita'],"['Toshiya Fujita', ' Motozo Mineo', ' Atsushi Yamatoya']",,,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]"
1764,tt0223782,Stray Cat Rock: Machine Animal,22 Nov 1970,1970,82,"['Action', 'Crime', 'Drama']",NOT RATED,['Japan'],"['Tatsuya Fuji', ' Noriko Kurosawa', ' Eiji Gô', ' Meiko Kaji']",['Yasuharu Hasebe'],['Ryûzô Nakanishi'],,,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]"
1765,tt0223784,Stray Cat Rock: Wild Jumbo,01 Aug 1970,1970,84,"['Action', 'Crime', 'Drama']",NOT RATED,['Japan'],"['Meiko Kaji', ' Bunjaku Han', ' Takeo Chii', ' Tatsuya Fuji']",['Toshiya Fujita'],"['Toshiya Fujita', ' Satoshi Funachi (novel)', ' Hideichi Nagahara']",,,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]"
1766,tt0224635,Bakuto kirikomi-tai,,1971,97,"['Action', 'Crime']",,['Japan'],"['Kôji Tsuruta', ' Tomisaburô Wakayama', ' Fumio Watanabe', ' Tetsurô Tanba']","[""Jun'ya Satô""]","['Yoshihiro Ishimatsu', "" Jun'ya Satô""]",,,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]"
