,tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
393,tt0070534,The Knock Out Cop,1973,99,"Action,Comedy,Crime",6.8,3258
394,tt0070553,The Police Serve the Citizens?,1973,102,"Action,Crime",7.2,73
395,tt0070564,Fang Shi Yu,1972,90,"Action,Drama",5.8,264
396,tt0070576,Pushing Up Daisies,1973,85,"Action,Comedy",4.1,22
397,tt0070631,Santo vs. Doctor Death,1973,95,"Action,Adventure,Sci-Fi",6.1,106
398,tt0070639,Savage!,1973,81,"Action,Drama",6.4,92
399,tt0070646,Mr. Hercules Against Karate,1973,103,"Action,Comedy",4.0,98
400,tt0070653,Scorpio,1973,114,"Action,Drama,Thriller",6.4,3672
401,tt0070671,Sette ore di violenza per una soluzione imprevista,1973,93,"Action,Crime",5.8,39
402,tt0070672,The Seven-Ups,1973,103,"Action,Crime,Drama",6.8,4526
403,tt0070679,Shaft in Africa,1973,112,"Action,Adventure,Crime",5.9,2421
404,tt0070680,Shamus,1973,106,"Action,Comedy,Crime",6.1,1141
405,tt0070684,The Heroic Ones,1970,117,"Action,Drama,History",6.6,614
406,tt0070688,The Mandarin Magician,1974,86,"Action,Drama",5.1,22
407,tt0070704,The Slams,1973,91,"Action,Crime,Drama",5.9,207
408,tt0070705,Slaughter in San Francisco,1974,87,"Action,Crime,Thriller",4.1,512
409,tt0070706,Slaughter's Big Rip-Off,1973,94,"Action,Crime,Drama",6.0,463
410,tt0070726,The Spook Who Sat by the Door,1973,102,"Action,Crime,Drama",7.1,1068
411,tt0070727,Stacey,1973,81,"Action,Crime,Drama",5.3,155
412,tt0070730,Steel Arena,1973,98,"Action,Drama,Sport",5.8,45
413,tt0070736,The Stone Killer,1973,95,"Action,Crime,Drama",6.2,2607
414,tt0070752,Superchick,1973,94,"Action,Comedy",3.5,431
415,tt0070753,Super Fly T.N.T.,1973,87,"Action,Crime,Drama",5.3,277
416,tt0070754,Superman,1973,104,"Action,Adventure,Sci-Fi",6.3,180
417,tt0070755,Supermarket,1974,84,"Action,Crime,Drama",6.8,410
418,tt0070756,Supervan,1977,91,"Action,Comedy",4.0,228
419,tt0070761,Miyamoto Musashi,1973,148,"Action,Drama",7.2,35
420,tt0070768,Tai quan zhen jiu zhou,1973,91,"Action,Drama,War",6.3,174
421,tt0070778,"Wang Yu, King of Boxers",1972,101,"Action,Crime,Drama",5.5,171
422,tt0070782,Terminal Island,1973,88,"Action,Drama,Thriller",5.2,738
423,tt0070787,That Man Bolt,1973,104,"Action,Crime,Drama",5.8,268
424,tt0070800,Five Fingers of Death,1972,105,"Action,Drama,Romance",7.1,2710
425,tt0070801,The Young Dragons,1974,95,Action,5.3,117
426,tt0070825,The Train Robbers,1973,92,"Action,Comedy,Romance",6.5,5017
427,tt0070831,Three Supermen of the West,1973,95,"Action,Comedy,Sci-Fi",4.0,29
428,tt0070833,Trick Baby,1972,89,"Action,Crime,Drama",6.8,417
429,tt0070851,Ultimul cartus,1973,100,"Action,Crime",7.6,691
430,tt0070895,Walking Tall,1973,125,"Action,Biography,Crime",7.0,4717
431,tt0070909,Westworld,1973,88,"Action,Sci-Fi,Thriller",7.0,49416
432,tt0070915,White Lightning,1973,101,"Action,Crime,Drama",6.4,3730
433,tt0070926,Wonder Women,1973,82,"Action,Horror,Sci-Fi",4.7,491
434,tt0070930,The Wrestler,1974,95,"Action,Crime,Drama",5.3,185
435,tt0070932,The Bastard,1973,102,Action,6.7,49
436,tt0070934,Ya sluzhu na granitse,1974,85,Action,5.9,12
437,tt0070935,Procession of Memories,1973,164,"Action,Drama,Musical",7.4,1801
438,tt0070936,Yamaguchi-gumi San-daime,1973,106,"Action,Crime,Drama",7.6,5
439,tt0070939,Yellow Dog,1973,101,"Action,Drama",7.2,20
440,tt0070942,The Fate of Lee Khan,1973,105,"Action,Drama",7.1,419
441,tt0070947,Shackles,1973,145,"Action,Crime,Drama",7.6,3476
442,tt0071089,99 and 44/100% Dead!,1974,98,"Action,Adventure,Comedy",5.6,638
443,tt0071099,Ace of Hearts,1975,94,"Action,Crime,Drama",4.7,18
444,tt0071110,Airport 1975,1974,107,"Action,Drama,Thriller",5.7,9143
445,tt0071162,"Run, Run, Joe!",1974,120,"Action,Comedy,Crime",6.1,73
446,tt0071189,The Bamboo House of Dolls,1973,110,"Action,Drama,Thriller",5.4,437
447,tt0071216,Big Bad Mama,1974,84,"Action,Comedy,Crime",5.8,2134
448,tt0071221,Black Belt Jones,1974,85,"Action,Comedy",6.4,1952
449,tt0071224,Black Eye,1974,98,"Action,Crime",5.5,226
450,tt0071226,Black Samson,1974,88,"Action,Drama",6.2,324
451,tt0071227,The Black 6,1973,94,"Action,Drama",3.9,457
452,tt0071229,The Black Windmill,1974,106,"Action,Crime,Thriller",6.3,2397
453,tt0071241,Borsalino and Co.,1974,110,"Action,Crime,Drama",6.3,1733
454,tt0071249,Bring Me the Head of Alfredo Garcia,1974,112,"Action,Crime,Drama",7.5,17345
455,tt0071252,The Dragon Dies Hard,1975,96,"Action,Adventure,Drama",5.1,87
456,tt0071253,Bruce Lee: A Dragon Story,1977,91,"Action,Biography,Drama",5.6,229
457,tt0071266,Caged Heat,1974,83,"Action,Comedy,Drama",5.3,2069
458,tt0071270,Callan,1974,106,"Action,Crime,Thriller",7.0,581
459,tt0071278,Caravan to Vaccares,1974,98,"Action,Mystery,Thriller",4.4,282
460,tt0071292,Open Season,1974,100,"Action,Drama,Thriller",6.2,500
461,tt0071303,Chanoc en el foso de las serpientes,1975,86,"Action,Adventure,Drama",4.5,12
462,tt0071316,Xiao ying xiong da nao Tang Ren jie,1974,107,"Action,Comedy",6.5,14
463,tt0071318,Chosen Survivors,1974,99,"Action,Adventure,Drama",5.5,699
464,tt0071319,Chou,1972,92,"Action,Drama",6.5,92
465,tt0071323,Xia nan yang,1974,88,"Action,Drama",6.0,59
466,tt0071324,The Valiant Ones,1975,102,"Action,Drama,History",6.9,271
467,tt0071330,Street Law,1974,105,"Action,Thriller",7.0,1137
468,tt0071331,La città gioca d'azzardo,1975,101,"Action,Crime,Drama",6.6,269
